"","x"
"948","Adrien Sénécat"
"949","Gaëlle Dupont"
"950","Adrien Sénécat"
"951","Gary Dagorn"
"952","Sandrine Morel"
"953","Manon Rescan"
"954","Jean-Baptiste de Montvalon"
"955","Alexandre Piquard"
"956","Martin Untersinger"
"957","Lucie Soullier"
"958","Raphaëlle Bacqué"
"959","Gérard Courtois"
"960","Alexandre Lemarié"
"961","Jean-Baptiste Jacquin"
"962","Gérard Courtois"
"963","Lucie Soullier"
"964","Alexandre Lemarié"
"965","Adrien Sénécat"
"966","Lucie Soullier"
"967","Sarah Belouezzane"
"968","Bertrand Bissuel"
"969","Isabelle Rey-Lefebvre"
"970","Simon Roger"
"971","Sandrine Blanchard"
"972","Bastien Bonnefous"
"973","Abel Mestre"
"974","Sarah Belouezzane"
"975","Bertrand Bissuel"
"976","Sarah Belouezzane"
"977","Bertrand Bissuel"
"978","Louis Imbert"
"979","Jean-Michel Bezat"
"980","Philippe Jacqué"
"981","Alexandre Lemarié"
"982","Françoise Fressoz"
"983","Manon Rescan"
"984","Simon Piel"
"985","Lucie Soullier"
"986","Ariane Chemin"
"987","Jérémie Lamothe"
"988","Abel Mestre"
"989","Benoît Floc'h"
"990","Cédric Pietralunga"
"991","Benoît Floc'h"
